NSI,EVENT,TIMESTAMP,STATUS_TIME,NS_INSTANTIATION_TIME
300,TO_BE_INSTANTIATED,1606312572467,,
300,COMPUTING_RESOURCES,1606312576386,1.989,
300,ALLOCATING_NS_VLS,1606312578375,58.96,
300,CREATING_VNFS,1606312637335,61.086,
300,CREATING_CONNECTIVITY,1606312698421,1.112,
300,CONFIGURING_VNFS,1606312699533,18.304,
300,ALLOCATED,1606312717837,,145.37
324,TO_BE_INSTANTIATED,1606323775480,,
324,COMPUTING_RESOURCES,1606323806021,0.927,
324,ALLOCATING_NS_VLS,1606323806948,50.564,
324,CREATING_VNFS,1606323857512,61.045,
324,CREATING_CONNECTIVITY,1606323918557,1.01,
324,CONFIGURING_VNFS,1606323919567,18.42,
324,ALLOCATED,1606323937987,,162.507